,id,name,review_count,rating,price_rank
49,gKUOw5P2ZxrPECVWIymDqw,Blazin Skinz,7,4.5,$
0,TXsBFa4Xpl4DZhGZhCxF8w,Chiko Tattoos,2,5.0,
1,jYz0j6-RtqRmtQvsyWGibg,Blasphemy Tattoo,11,3.5,
2,tJaBspHNlw8oca3ybp3I9g,Gristle Tattoo,44,4.5,$$
3,2oKyCGHdtuZfyd4Y1kNe5g,Greenpoint Tattoo,32,4.5,$$
4,AOyZ3vSNlnOb9imtCYlQSQ,Public Tattoo,1,5.0,
5,aMNE5rqVETSoNwUrW57E-g,Rebels N Saints Tattoo,6,5.0,
6,07GPMbDiwpyQg2KhIinITg,Rose Tattoo Parlour,16,4.5,$$$
7,ubO63ZbwRj6NfZGoLjT1mg,Inkomplete Tattoos,3,3.5,
8,oJVXQZT2y4_pK0kRy4y3Hw,Allied Tattoo,20,5.0,$$
9,uGxd6XY99X1R5tII-vWjzw,First Class Tattoo,35,4.0,$$
10,yGQUNA3gGElhjdJ9kXqR-A,Red Baron Ink,74,5.0,$$
11,34yTuKRgjPQHfR-g84zn9Q,White Rabbit Tattoo,169,4.0,$$
12,PnPdamP6JqCGoP5kFCOuuw,BaNeul Tattoo,10,4.5,
13,QYGdDNm5027Hd1JpYMS-4Q,RM Aromatherapy & Skin Care,24,5.0,
14,wRrtFqRAI0Vw8vw5F0UaeQ,Do or Die Tattoo,12,4.0,
15,OGHmMuzMkKW-NiywyNAVnA,HighLine Tattoo NYC,5,5.0,
16,cShSMYSdNGAJQPdPT-LuVw,Anarchy Tattoo Studios,22,5.0,$$
17,h2LVdmhS80nouiBl1vBtFg,Body Art & Soul Tattoo,43,4.5,$$
18,unYDscLMR0ipNzop_zkv8g,Fun City Tattoo,82,4.5,$$
19,rF3s7197Ipu4x7aYO84wLw,Ruby Elegant Beauty Salon,5,5.0,$
20,tGzQpsyL4P1-aAYh5dFsJg,Ink Studio,8,4.0,$$$
21,-zz7vIm6vnS3GlKimG5rVQ,East River Tattoo,64,4.5,$$$
22,-9GwrEsbIvkL6mRNc26hyQ,Eight of Swords Tattoo,101,4.5,$$
23,SmgRp7nqeALtU14QyGCXpw,Green Elephant Ink,1,5.0,
24,Tke_NF9lhAjt0Qrgdlrl0Q,Inked NYC,1,5.0,
25,xS7sPwqQ1vdulieB5Hc8Bg,Abstract Black Nyc Tattoos,3,5.0,$$
26,LCJsvTGwfBU6PS12ffWjSA,Citizen Ink,71,4.5,$$
27,x2Y7UmvHE7bo2ByewuMOBA,Uncharted Tattoo,10,4.0,$$
28,UxLX016xm4EN0K0yYY5s_w,Red Baron Ink,23,5.0,
29,xFUxr_HMlevP4teMMPhO-w,Tattoo Wonderland,46,5.0,$$
30,MTTHg4E-S6IPLTcqUfz0VQ,Williamsburg Tattoo,2,5.0,
31,SgnLjiwYHJeX2HEIXmF2QQ,SENA TATTOO,32,5.0,$$$
32,lE8n-4G8HjwIw_23oNr1oQ,Abuela's Tattoo Parlor,12,4.5,$$
